if	O
you	O
have	O
a	O
severe	B-Symptom
pain	I-Symptom
of	O
unknown	O
origin	O
this	O
is	O
the	O
best	O
i	O
suffered	O
for	O
almost	O
4	O
month	O
without	O
knowing	O
a	O
reason	O
.	O
it	O
wa	O
a	O
disaster	O
ifyou	O
have	O
any	O
problem	O
do	O
not	O
hesitate	O
.	O
first	O
of	O
all	O
have	O
an	O
oral	O
swab	O
in	O
any	O
laboratory	O
.	O
<EOS>	O
decrease	O
in	O
pain	B-Symptom
.	O
<EOS>	O
well	O
after	O
3	O
day	O
of	O
use	O
i	O
consulted	O
doctor	O
with	O
throat	B-ADR
pain	I-ADR
.	O
make	O
a	O
very	O
long	O
story	O
short	O
.	O
after	O
3	O
day	O
of	O
use	O
it	O
gave	O
me	O
3	O
esofogual	B-ADR
uclers	I-ADR
.	O
also	O
could	B-ADR
not	I-ADR
eat	I-ADR
or	I-ADR
drink	I-ADR
for	O
over	O
a	O
week	O
which	O
is	O
not	O
pretty	O
.	O
it	O
3	O
month	O
later	O
and	O
i	O
still	O
ca	B-ADR
not	I-ADR
eat	I-ADR
normal	I-ADR
.	O
i	O
always	O
sick	B-Symptom
.	O
<EOS>	O
some	O
diarrhea	B-ADR
,	O
some	O
constipation	B-ADR
,	O
fatigue	B-ADR
0	O
it	O
work	O
very	O
well	O
for	O
the	O
heel	B-Symptom
;	I-Symptom
i	I-Symptom
could	I-Symptom
not	I-Symptom
walk	I-Symptom
on	I-Symptom
it	I-Symptom
very	I-Symptom
well	I-Symptom
before	O
taking	O
it	O
0	O
i	O
take	O
75mg.twice	O
a	O
day	O
0	O
also	O
have	O
severe	B-Disease
osteoarthritis	I-Disease
in	I-Disease
the	I-Disease
knee	I-Disease
and	I-Disease
hand	I-Disease
,	O
but	O
it	O
doe	O
not	O
seem	O
to	O
relieve	O
that	O
pain	B-Symptom
at	O
all	O
0	O
<EOS>	O
uncontrollable	O
diarrhea	B-ADR
,	O
kidney	O
function	O
0	O
this	O
product	O
is	O
the	O
best	O
medicine	O
for	O
arthritis	B-Symptom
pain	I-Symptom
i	O
have	O
ever	O
taken	O
,	O
however	O
after	O
taking	O
it	O
for	O
approx	O
0	O
10	O
year	O
it	O
started	O
affecting	B-ADR
my	I-ADR
kidney	I-ADR
,	O
my	B-ADR
stomach	I-ADR
(	I-ADR
acid	I-ADR
reflux	I-ADR
)	I-ADR
and	O
the	O
diarrhea	B-ADR
